,0,1,2,3,4
0,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情,亞洲股市指數行情
1,股市,指數,漲跌,比例,當地
2,紐西蘭,11173.37,-73.66,-0.66%,18:00
3,澳洲股市,7413.00,39.80,0.54%,16:31
4,日經225,26739.00,-9.14,-0.03%,14:31
5,東證一部,1880.75,2.49,0.13%,14:11
6,東證二部,7228.27,-10.79,-0.15%,04/01
7,JASDAQ,164.28,-0.47,-0.29%,04/01
8,韓國股市,2624.24,18.37,0.70%,14:31
9,台灣加權,16142.09,178.46,1.12%,13:29
10,台灣店頭,194.80,2.22,1.15%,13:12
11,上海綜合,3092.21,21.28,0.69%,13:31
12,上海A股,3241.13,23.01,0.72%,13:31
13,上海B股,301.17,3.02,1.01%,13:15
14,深圳A股,2027.44,16.22,0.81%,13:08
15,深圳B股,1081.12,-0.33,-0.03%,13:08
16,滬深300,3966.34,7.19,0.18%,13:31
17,深證成指,11106.16,40.24,0.36%,13:01
18,中小板指,7630.95,32.54,0.43%,13:17
19,創業板指,2325.48,7.41,0.32%,13:01
20,香港恆生,20166.00,53.90,0.27%,13:31
21,香港國企,6899.39,16.25,0.24%,13:16
22,香港紅籌,3841.69,8.90,0.23%,13:25
23,恆生科技,4177.65,-106.77,-2.49%,05/23
24,香港創業板,37.34,-0.19,-0.51%,13:28
25,新加坡,3184.71,-10.33,-0.32%,13:25
26,菲律賓,6603.17,25.72,0.39%,13:16
27,馬來西亞,1534.36,3.06,0.20%,13:16
28,越南股市,1247.84,14.46,1.17%,11:32
29,泰國股市,1636.02,9.79,0.60%,12:16
30,印尼股市,6883.42,-30.72,-0.44%,11:30
31,印度股市,54108.63,56.02,0.10%,10:46
